Date,Open,High,Low,Close,Volume
09.03.2015 17:00:00.000 GMT-0400,2079.571,2079.697,2042.313,2044.825,43.06550000000001
10.03.2015 17:00:00.000 GMT-0400,2046.075,2052.745,2038.779,2042.615,41.5361
11.03.2015 17:00:00.000 GMT-0400,2042.632,2068.130,2040.130,2067.130,0.1328
12.03.2015 17:00:00.000 GMT-0400,2067.130,2070.190,2040.000,2051.692,33.0738
13.03.2015 17:00:00.000 GMT-0400,2051.692,2051.692,2051.692,2051.692,0
14.03.2015 17:00:00.000 GMT-0400,2051.692,2051.692,2051.692,2051.692,0
15.03.2015 17:00:00.000 GMT-0400,2052.481,2081.793,2051.781,2076.124,14.255799999999997
16.03.2015 17:00:00.000 GMT-0400,2076.693,2078.637,2064.465,2074.212,29.2128
17.03.2015 17:00:00.000 GMT-0400,2074.085,2107.999,2060.553,2101.039,25.472399999999997
18.03.2015 17:00:00.000 GMT-0400,2100.614,2107.476,2084.975,2088.791,16.1201
19.03.2015 17:00:00.000 GMT-0400,2088.793,2114.494,2085.975,2106.779,12.982700000000001
20.03.2015 17:00:00.000 GMT-0400,2106.779,2106.779,2106.779,2106.779,0
21.03.2015 17:00:00.000 GMT-0400,2106.779,2106.779,2106.779,2106.779,0
22.03.2015 17:00:00.000 GMT-0400,2106.978,2114.998,2101.251,2102.980,5.7116
23.03.2015 17:00:00.000 GMT-0400,2102.993,2108.800,2090.601,2092.790,19.4826
24.03.2015 17:00:00.000 GMT-0400,2092.765,2097.194,2060.190,2062.955,10.682300000000001
25.03.2015 17:00:00.000 GMT-0400,2062.975,2067.222,2041.342,2058.267,41.8612
26.03.2015 17:00:00.000 GMT-0400,2058.086,2065.600,2049.468,2059.888,52.298500000000004
27.03.2015 17:00:00.000 GMT-0400,2059.888,2059.888,2059.888,2059.888,0
28.03.2015 17:00:00.000 GMT-0400,2059.888,2059.888,2059.888,2059.888,0
29.03.2015 17:00:00.000 GMT-0400,2060.684,2089.487,2055.196,2082.193,19.157600000000002
